experiment_id,collect_duration_us,deserialize_duration_us,exec_query_duration_us,exec_tflite_duration_us,load_duration_us,net_init_duration_us,riot_os_init_duration_us,save_config_duration_us,send_duration_us,sensor_init_duration_us,sleep_duration_us,sync_duration_us,collect_watts,deserialize_watts,exec_query_watts,exec_tflite_watts,load_watts,net_init_watts,riot_os_init_watts,save_config_watts,send_watts,sensor_init_watts,sleep_watts,sync_watts,uncategorised_watts
403155,194318.0,11538.0,3157.0,29317.0,20700.0,2346816.0,113371.0,583822.0,4978458.0,24243.0,113068972.0,803898.0,0.036220621317625,0.0414062030613422,0.0367608629167079,0.0447765551507473,0.0365263000130653,0.0367090106010437,0.0541212707757949,0.0417139567434787,0.1112138926982879,0.035415943711996,-1.6187359506147914e-05,0.1323645859956741,0.0273271221667528
403164,138931.0,7832.0,2880.0,29306.0,20478.0,2208374.0,111787.0,560818.0,4189355.0,25225.0,113861570.0,803785.0,0.0371056050062179,0.0415207855403423,0.0363807044923305,0.0463795773684978,0.0375422239303588,0.0377317741513252,0.0560604222118854,0.0425284244120121,0.1142877712845802,0.0365108586847782,-5.9943977248622105e-06,0.1340572237968444,0.0289616677910089
403165,98209.0,6196.0,2415.0,29146.0,20582.0,5160926.0,112332.0,546743.0,5207782.0,24301.0,113835637.0,804050.0,0.036401942372322,0.0384092032909393,0.0362351238727569,0.0439633429050445,0.0367513783276081,0.0366541817784309,0.0551730655133724,0.0418002866208553,0.10773766040802,0.0359940342605114,-4.3763997382484376e-05,0.1338633894920349,0.0272109173238277
403166,81500.0,5462.0,2177.0,29778.0,20500.0,2334981.0,112541.0,540456.0,4189817.0,23915.0,114844986.0,803882.0,0.0364001579582691,0.0375857464969158,0.035046562552452,0.0441235601902008,0.0366252772510051,0.0367627516388893,0.0549731440842151,0.0420350581407547,0.1059773117303848,0.0363280847668647,-4.5876058720750734e-05,0.1327270269393921,0.0285020377486944
403244,135301.0,7621.0,3147.0,29402.0,20603.0,8721042.0,111997.0,564909.0,4287144.0,24874.0,113818222.0,804096.0,0.0365427769720554,0.039993330836296,0.0359183959662914,0.0461750030517578,0.0366688780486583,0.0371556058526039,0.0549903847277164,0.0418434403836727,0.1130745336413383,0.0358442738652229,-2.861975008272566e-05,0.1335753351449966,0.0266228523105382
403246,96285.0,6116.0,1422.0,29939.0,20576.0,386548.0,113783.0,548557.0,5272506.0,23493.0,113763511.0,803804.0,0.0364295355975627,0.0381047949194908,0.0310600697994232,0.0447638668119907,0.0366920828819274,0.0372869968414306,0.0544153936207294,0.0418206267058849,0.0827684625983238,0.0366546250879764,-2.46234230871778e-05,0.1326770037412643,0.0272048078477382
403261,80570.0,4695.0,2272.0,29482.0,20917.0,384428.0,113114.0,539393.0,4266952.0,23947.0,114765151.0,804036.0,0.0363954380154609,0.0380265675485134,0.0342782773077487,0.0443672314286232,0.0369377322494983,0.0374639071524143,0.055317748337984,0.0416488274931907,0.0954548045992851,0.0364206433296203,-8.377377525903285e-06,0.1334608346223831,0.0274677090346813
404057,33868.0,4907.0,28136.0,32339.0,23740.0,1259382.0,245655.0,1476035.0,4286081.0,31558.0,114751585.0,804974.0,0.0384713970124721,0.039571288973093,0.0382212549448013,0.0391735918819904,0.0394490510225296,0.0398518331348896,0.0339458100497722,0.0422301851212978,0.0984238982200622,0.0380742959678173,-1.307436468778178e-05,0.1324530243873596,0.0272400751709938
404063,33820.0,6065.0,59335.0,32372.0,23743.0,9934614.0,262935.0,1487890.0,4337182.0,31230.0,114697976.0,804915.0,0.0385792776942253,0.0404764525592327,0.038774874061346,0.0394648909568786,0.0395803451538085,0.0397927239537239,0.0316423736512661,0.0421413406729698,0.1057490855455398,0.0379984118044376,1.0525189281906933e-05,0.1320451200008392,0.0267944019287824
404089,37436.0,27006.0,28237.0,31976.0,139384.0,369763.0,168742.0,1475342.0,4262781.0,13566.0,112472236.0,804944.0,0.0388655140995979,0.0375010147690773,0.038258321583271,0.0434264428913593,0.0378353781998157,0.038654588162899,0.0488245487213134,0.0427526906132698,0.0980014577507972,0.0385888703167438,0.0001309547951677,0.1309030801057815,0.0285117160528898
404095,36782.0,44733.0,59701.0,32028.0,139447.0,366790.0,169025.0,1491015.0,4298609.0,13292.0,112409953.0,804926.0,0.037968173623085,0.0380833223462104,0.0375509969890117,0.0437216311693191,0.0377264097332954,0.0386397056281566,0.048421673476696,0.0422594286501407,0.1053435057401657,0.0378146506845951,2.2675162654195447e-06,0.1311254948377609,0.0281758233904838
404097,16786.0,36154.0,1288.0,29703.0,138864.0,1918885.0,115817.0,1558186.0,5557434.0,13665.0,109443388.0,805807.0,0.0391822345554828,0.0376733019948005,0.0371240638196468,0.0434907861053943,0.0378356538712978,0.0441631227731704,0.0538510307669639,0.0420483015477657,0.0953678786754608,0.0379012450575828,-8.262539631687105e-05,0.1306388825178146,0.0295144952833652
404098,17258.0,44817.0,1251.0,29664.0,138935.0,366494.0,116640.0,1486614.0,4297480.0,13378.0,112410057.0,805819.0,0.0398075170814991,0.038461610674858,0.0373781509697437,0.043679803609848,0.0382072925567626,0.0390068925917148,0.0537816509604454,0.0427026413381099,0.1060198098421096,0.0384873822331428,-1.1905123756150717e-05,0.1323603838682174,0.0285854265093803
